journal,random_state,n_neighbors,nr_topics,topics_count,outliers_count,silhouette_score
nejm,467286020,10,auto,227,3795,0.28837496
nejm,998660190,10,auto,210,4034,0.25004545
nejm,448101322,10,auto,222,3975,0.27197555
nejm,1434032272,10,auto,226,3905,0.2538921
nejm,19867790,10,auto,234,3988,0.29613692
nejm,771551032,10,auto,220,4056,0.2815213
nejm,1063490323,10,auto,7,4275,-0.36805013
nejm,268371649,10,auto,236,4086,0.3377324
nejm,1366247248,10,auto,229,3865,0.33842432
nejm,430962134,10,auto,218,3969,0.24924238
nejm,1367218762,10,auto,211,3927,0.26190805
nejm,1688005394,10,auto,216,3998,0.2767193
nejm,1669707784,10,auto,222,3959,0.28273875
nejm,734623500,10,auto,47,3804,-0.5108294
nejm,372882112,10,auto,55,3958,-0.5117555
nejm,353509108,10,auto,222,3919,0.28205124
nejm,301169961,10,auto,218,3681,0.25162786
nejm,128676237,10,auto,223,4218,0.26865625
nejm,417687889,10,auto,117,4230,-0.2911686
nejm,163154495,10,auto,231,4015,0.34913358
nejm,957605360,10,auto,205,4083,0.22247967
nejm,1163935767,10,auto,213,3948,0.2591404
nejm,1730515618,10,auto,198,4171,0.16879673
nejm,599632204,10,auto,8,3967,-0.38555574
nejm,198601181,10,auto,223,4065,0.25652853
nejm,1600924122,10,auto,240,4214,0.36053565
nejm,1903558714,10,auto,54,3931,-0.4939926
nejm,1339865977,10,auto,229,4077,0.26762715
nejm,294126813,10,auto,216,3880,0.24850762
nejm,448059015,10,auto,202,3984,0.16121037
nejm,1392341943,10,auto,99,4089,-0.3386802
nejm,851689256,10,auto,226,4046,0.3134644
nejm,2130688585,10,auto,52,3925,-0.48024988
nejm,1201146163,10,auto,229,3982,0.32361948
nejm,1044653584,10,auto,239,4002,0.38112634
nejm,1225415638,10,auto,218,4083,0.33244157
nejm,2077985898,10,auto,59,3969,-0.44934547
nejm,548281187,10,auto,199,4268,0.17311166
nejm,1243547950,10,auto,228,4264,0.32456228
nejm,2031134977,10,auto,246,4146,0.35479203
nejm,1595525193,10,auto,7,4021,-0.3713714
nejm,1821370042,10,auto,9,3869,-0.39458025
nejm,700352662,10,auto,211,3748,0.2566585
nejm,911653716,10,auto,20,4092,-0.5441827
nejm,1202821711,10,auto,228,3470,0.29067424
nejm,223214560,10,auto,52,3987,-0.485587
nejm,1662813295,10,auto,233,4189,0.38972914
nejm,75683008,10,auto,46,4026,-0.49791288
nejm,1034493261,10,auto,226,4022,0.35741857
nejm,442841991,10,auto,208,3974,0.20086855
nejm,1094993656,10,auto,210,4016,0.22829776
nejm,1576142754,10,auto,233,3998,0.3604518
nejm,1695490009,10,auto,215,4352,0.25541037
nejm,42371530,10,auto,237,3993,0.37442905
nejm,1165096364,10,auto,230,3656,0.32854334
nejm,2122605452,10,auto,24,3900,-0.55072135
nejm,1777484754,10,auto,215,4037,0.24824332
